clause,risk,category,reason
Payment due within 30 days. (variation 1819),Low,Payment,Standard terms
Data anonymized. (variation 1820),Low,Privacy,Privacy preserved
User activity tracked. (variation 1821),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 1822),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 1823),Medium,Liability,Partial limitation
User activity tracked. (variation 1824),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 1825),Low,Payment,Standard terms
Company can terminate without notice. (variation 1826),High,Termination,Unfair
Full liability accepted by vendor. (variation 1827),Low,Liability,Favorable to client
Data anonymized. (variation 1828),Low,Privacy,Privacy preserved
User activity tracked. (variation 1829),Medium,Privacy,Tracking concern
Flexible payment options available. (variation 1830),Low,Payment,User-friendly
Flexible payment options available. (variation 1831),Low,Payment,User-friendly
Client data shared with third parties. (variation 1832),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 1833),Medium,Termination,Lock-in risk
Data anonymized. (variation 1834),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 1835),Low,Payment,Standard terms
Payment due within 30 days. (variation 1836),Low,Payment,Standard terms
Company can terminate without notice. (variation 1837),High,Termination,Unfair
User activity tracked. (variation 1838),Medium,Privacy,Tracking concern
Payment due within 30 days. (variation 1839),Low,Payment,Standard terms
Late fee of 5% per month. (variation 1840),Medium,Payment,High penalty
Data anonymized. (variation 1841),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 1842),High,Liability,Removes accountability
Flexible payment options available. (variation 1843),Low,Payment,User-friendly
Payment due within 30 days. (variation 1844),Low,Payment,Standard terms
Termination penalty applies. (variation 1845),High,Termination,Financial burden
Data encrypted at rest. (variation 1846),Low,Privacy,Secure
Data encrypted at rest. (variation 1847),Low,Privacy,Secure
User activity tracked. (variation 1848),Medium,Privacy,Tracking concern
Client data shared with third parties. (variation 1849),High,Privacy,Privacy risk
Termination penalty applies. (variation 1850),High,Termination,Financial burden
Company may change pricing anytime. (variation 1851),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 1852),High,Liability,Limits compensation
Termination penalty applies. (variation 1853),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 1854),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 1855),High,Liability,Removes accountability
Flexible payment options available. (variation 1856),Low,Payment,User-friendly
Data encrypted at rest. (variation 1857),Low,Privacy,Secure
Vendor is not liable for indirect damages. (variation 1858),High,Liability,Removes accountability
Flexible payment options available. (variation 1859),Low,Payment,User-friendly
Termination requires 60 days notice. (variation 1860),Low,Termination,Reasonable
Data anonymized. (variation 1861),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 1862),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 1863),High,Liability,Limits compensation
Termination penalty applies. (variation 1864),High,Termination,Financial burden
Contract auto-renews annually. (variation 1865),Medium,Termination,Lock-in risk
Flexible payment options available. (variation 1866),Low,Payment,User-friendly
Vendor is not liable for indirect damages. (variation 1867),High,Liability,Removes accountability
Company can terminate without notice. (variation 1868),High,Termination,Unfair
Flexible payment options available. (variation 1869),Low,Payment,User-friendly
Payment due within 30 days. (variation 1870),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1871),High,Liability,Limits compensation
Payment due within 30 days. (variation 1872),Low,Payment,Standard terms
Termination penalty applies. (variation 1873),High,Termination,Financial burden
Flexible payment options available. (variation 1874),Low,Payment,User-friendly
Late fee of 5% per month. (variation 1875),Medium,Payment,High penalty
Data anonymized. (variation 1876),Low,Privacy,Privacy preserved
User activity tracked. (variation 1877),Medium,Privacy,Tracking concern
Late fee of 5% per month. (variation 1878),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 1879),High,Liability,Limits compensation
Termination penalty applies. (variation 1880),High,Termination,Financial burden
Data anonymized. (variation 1881),Low,Privacy,Privacy preserved
Company may change pricing anytime. (variation 1882),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 1883),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 1884),Low,Termination,Reasonable
Data encrypted at rest. (variation 1885),Low,Privacy,Secure
Company may change pricing anytime. (variation 1886),High,Payment,Unpredictable costs
Full liability accepted by vendor. (variation 1887),Low,Liability,Favorable to client
Company may change pricing anytime. (variation 1888),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 1889),Medium,Payment,High penalty
Company may change pricing anytime. (variation 1890),High,Payment,Unpredictable costs
Termination penalty applies. (variation 1891),High,Termination,Financial burden
Company can terminate without notice. (variation 1892),High,Termination,Unfair
Full liability accepted by vendor. (variation 1893),Low,Liability,Favorable to client
Company can terminate without notice. (variation 1894),High,Termination,Unfair
Liability is capped at total fees paid. (variation 1895),High,Liability,Limits compensation
Company may change pricing anytime. (variation 1896),High,Payment,Unpredictable costs
Data anonymized. (variation 1897),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 1898),High,Termination,Unfair
Company may change pricing anytime. (variation 1899),High,Payment,Unpredictable costs
Data encrypted at rest. (variation 1900),Low,Privacy,Secure
Payment due within 30 days. (variation 1901),Low,Payment,Standard terms
Payment due within 30 days. (variation 1902),Low,Payment,Standard terms
Liability is capped at total fees paid. (variation 1903),High,Liability,Limits compensation
Payment due within 30 days. (variation 1904),Low,Payment,Standard terms
Client data shared with third parties. (variation 1905),High,Privacy,Privacy risk
Vendor is not liable for indirect damages. (variation 1906),High,Liability,Removes accountability
Late fee of 5% per month. (variation 1907),Medium,Payment,High penalty
Data anonymized. (variation 1908),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 1909),Medium,Payment,High penalty
Vendor liable only for direct damages. (variation 1910),Medium,Liability,Partial limitation
Vendor liable only for direct damages. (variation 1911),Medium,Liability,Partial limitation
Contract auto-renews annually. (variation 1912),Medium,Termination,Lock-in risk
Flexible payment options available. (variation 1913),Low,Payment,User-friendly
Flexible payment options available. (variation 1914),Low,Payment,User-friendly
Client data shared with third parties. (variation 1915),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 1916),Medium,Payment,High penalty
Data anonymized. (variation 1917),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 1918),High,Termination,Unfair
Termination penalty applies. (variation 1919),High,Termination,Financial burden
Flexible payment options available. (variation 1920),Low,Payment,User-friendly
Vendor liable only for direct damages. (variation 1921),Medium,Liability,Partial limitation
Flexible payment options available. (variation 1922),Low,Payment,User-friendly
Company can terminate without notice. (variation 1923),High,Termination,Unfair
Liability is capped at total fees paid. (variation 1924),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 1925),High,Liability,Limits compensation
Data anonymized. (variation 1926),Low,Privacy,Privacy preserved
Termination requires 60 days notice. (variation 1927),Low,Termination,Reasonable
User activity tracked. (variation 1928),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 1929),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 1930),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 1931),High,Liability,Limits compensation
Liability is capped at total fees paid. (variation 1932),High,Liability,Limits compensation
Termination requires 60 days notice. (variation 1933),Low,Termination,Reasonable
Flexible payment options available. (variation 1934),Low,Payment,User-friendly
Company may change pricing anytime. (variation 1935),High,Payment,Unpredictable costs
Company may change pricing anytime. (variation 1936),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 1937),High,Termination,Unfair
Client data shared with third parties. (variation 1938),High,Privacy,Privacy risk
Flexible payment options available. (variation 1939),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 1940),Low,Liability,Favorable to client
User activity tracked. (variation 1941),Medium,Privacy,Tracking concern
Contract auto-renews annually. (variation 1942),Medium,Termination,Lock-in risk
Client data shared with third parties. (variation 1943),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 1944),Medium,Payment,High penalty
Company can terminate without notice. (variation 1945),High,Termination,Unfair
Liability is capped at total fees paid. (variation 1946),High,Liability,Limits compensation
Late fee of 5% per month. (variation 1947),Medium,Payment,High penalty
Payment due within 30 days. (variation 1948),Low,Payment,Standard terms
Full liability accepted by vendor. (variation 1949),Low,Liability,Favorable to client
Termination penalty applies. (variation 1950),High,Termination,Financial burden
Termination penalty applies. (variation 1951),High,Termination,Financial burden
Company can terminate without notice. (variation 1952),High,Termination,Unfair
Vendor liable only for direct damages. (variation 1953),Medium,Liability,Partial limitation
Company may change pricing anytime. (variation 1954),High,Payment,Unpredictable costs
Payment due within 30 days. (variation 1955),Low,Payment,Standard terms
Data anonymized. (variation 1956),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 1957),High,Liability,Removes accountability
Vendor liable only for direct damages. (variation 1958),Medium,Liability,Partial limitation
Client data shared with third parties. (variation 1959),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 1960),Medium,Liability,Partial limitation
Flexible payment options available. (variation 1961),Low,Payment,User-friendly
Contract auto-renews annually. (variation 1962),Medium,Termination,Lock-in risk
Data anonymized. (variation 1963),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 1964),Low,Payment,Standard terms
Vendor liable only for direct damages. (variation 1965),Medium,Liability,Partial limitation
Vendor is not liable for indirect damages. (variation 1966),High,Liability,Removes accountability
Termination penalty applies. (variation 1967),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 1968),Medium,Liability,Partial limitation
Late fee of 5% per month. (variation 1969),Medium,Payment,High penalty
User activity tracked. (variation 1970),Medium,Privacy,Tracking concern
Late fee of 5% per month. (variation 1971),Medium,Payment,High penalty
Data anonymized. (variation 1972),Low,Privacy,Privacy preserved
Vendor liable only for direct damages. (variation 1973),Medium,Liability,Partial limitation
Full liability accepted by vendor. (variation 1974),Low,Liability,Favorable to client
Termination requires 60 days notice. (variation 1975),Low,Termination,Reasonable
Termination penalty applies. (variation 1976),High,Termination,Financial burden
Full liability accepted by vendor. (variation 1977),Low,Liability,Favorable to client
Data anonymized. (variation 1978),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 1979),Medium,Termination,Lock-in risk
Data anonymized. (variation 1980),Low,Privacy,Privacy preserved
Data anonymized. (variation 1981),Low,Privacy,Privacy preserved
Client data shared with third parties. (variation 1982),High,Privacy,Privacy risk
Flexible payment options available. (variation 1983),Low,Payment,User-friendly
Full liability accepted by vendor. (variation 1984),Low,Liability,Favorable to client
Client data shared with third parties. (variation 1985),High,Privacy,Privacy risk
User activity tracked. (variation 1986),Medium,Privacy,Tracking concern
Client data shared with third parties. (variation 1987),High,Privacy,Privacy risk
Payment due within 30 days. (variation 1988),Low,Payment,Standard terms
Termination requires 60 days notice. (variation 1989),Low,Termination,Reasonable
Contract auto-renews annually. (variation 1990),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 1991),High,Liability,Limits compensation
Flexible payment options available. (variation 1992),Low,Payment,User-friendly
Client data shared with third parties. (variation 1993),High,Privacy,Privacy risk
Flexible payment options available. (variation 1994),Low,Payment,User-friendly
Company can terminate without notice. (variation 1995),High,Termination,Unfair
Payment due within 30 days. (variation 1996),Low,Payment,Standard terms
Late fee of 5% per month. (variation 1997),Medium,Payment,High penalty
Termination penalty applies. (variation 1998),High,Termination,Financial burden
Data encrypted at rest. (variation 1999),Low,Privacy,Secure
